published_at,title,url,source
2015-12-16,Federal Reserve lifts rates off zero; dollar and oil react,https://www.investing.com,investing.com
2018-05-08,US withdraws from Iran nuclear deal; Hormuz risk premium returns,https://www.investing.com,investing.com
2019-06-13,Tankers attacked in the Gulf of Oman near the Strait of Hormuz,https://www.investing.com,investing.com
2019-09-14,Attacks on Saudi Abqaiq and Khurais oil facilities,https://www.investing.com,investing.com
2020-01-03,US strike on Qasem Soleimani; Middle East oil risk spike,https://www.investing.com,investing.com
2020-03-09,Oil price war and COVID demand shock hit WTI,https://www.investing.com,investing.com
2021-11-10,US CPI prints a multi-decade inflation high,https://www.investing.com,investing.com
2022-02-24,Russia invades Ukraine; energy shock and inflation shock together,https://www.investing.com,investing.com
2022-03-16,Federal Reserve begins the rate-hike cycle,https://www.investing.com,investing.com
2022-06-15,Federal Reserve delivers a 75 bp hike as inflation stays hot,https://www.investing.com,investing.com
2023-03-10,US banking stress; rate-cut odds and dollar swing,https://www.investing.com,investing.com
2023-10-07,Hamas attacks Israel; Middle East geopolitical risk premium,https://www.investing.com,investing.com
2023-12-15,Red Sea Houthi attacks disrupt tanker and container shipping,https://www.investing.com,investing.com
2024-04-13,Iran-Israel strikes put Strait of Hormuz back in oil headlines,https://www.investing.com,investing.com
2024-09-18,Federal Reserve starts cutting rates after the inflation downshift,https://www.investing.com,investing.com
